first,last,org,type,undergrad,homepage,phd,area,bio,,photo
Gabrielle,Beck,Johns Hopkins,Ph.D. Student,University of Michigan - Ann Arbor,https://becgabri.com/,Johns Hopkins,Cryptography,"Hi! My name is Gabrielle Beck. I'm currently a third year PhD student at Johns Hopkins doing research in the intersection of applied and theoretical cryptography, the area of computer security focused on designing protocols for secure communication where security guarantees are typically based on the conjectured hardness of certain problems in math. In my free time I like to cook, juggle, and hike.",,https://becgabri.com/assets/css/images/PotentialProfilePic.JPG
Emery,Berger,University of Massachusetts Amherst,Professor,Univ of Miami,https://emeryberger.com/,UT Austin,Systems,"Emery Berger is a professor at the University of Massachusetts Amherst, where he co-leads the PLASMA lab (https://plasma-umass.org). His group is well known for its influential research and software systems, many of which have enjoyed broad adoption: their work has influenced the development of the Rust and Swift languages, and memory managers deployed in both Mac OS X and Microsoft Windows. He also developed and maintains the CSrankings.org website. He was named an ACM Fellow in 2019.",,https://speakers.acm.org/binaries/content/gallery/speakers/photo/a-d/berger_2803
Marco,Carmosino,Boston University,Ph.D. Student,Hampshire College,https://marco.ntime.org/,UCSD,Theory/ML,"I am a Computing Innovation Fellow at Boston University, supervised by Mark Bun. I obtained my PhD from the University of California, San Diego in August of 2019, advised by Russell Impagliazzo.",,https://simons.berkeley.edu/sites/default/files/styles/profile_main/public/marco_carmosino.jpg?itok=ufUIxbKh
Vijay,Chidambaram,University of Texas at Austin,Professor,"College of Engineering, Guindy, India",https://www.cs.utexas.edu/~vijay/,University of Wisconsin-Madison,Systems,"Vijay Chidambaram is an Assistant Professor in the Computer Science department at the University of Texas at Austin. His papers have won Best Paper Awards in ATC 2018, FAST 2018, and FAST 2017. He was awarded the NSF CAREER Award in 2018 and the SIGOPS Dennis M. Ritchie Dissertation Award in 2016. Techniques from his work have been incorporated into commercial products, and his work has helped make the Linux kernel more reliable.",,https://www.cs.utexas.edu/~vijay/images/profile-msr.jpg
James,Choncholas,Georgia Institute of Technology,Ph.D. Student,University of Wisconsin - Madison,https://james.choncholas.com/,Georgia Institute of Technology,Systems,Ph.D. student at Georgia Institute of Technology. I research security and privacy in distributed and decentralized systems. I received my Bachelors of Science from the University of Wisconsin – Madison.,,
Thaleia Dimitra,Doudali,Georgia Tech,Ph.D. Student,"National Technical University of Athens (NTUA), Greece",https://www.cc.gatech.edu/~tdoudali/,Georgia Tech,Systems,"Thaleia Dimitra Doudali is a Ph.D. candidate in the School of Computer Science at Georgia Tech, advised by Ada Gavrilovska. Thaleia’s research interests are broadly in the area of systems, with a focus at the intersection of machine learning and systems. Thaleia was selected to participate in the 2020 Rising Stars in EECS workshop.",,https://www.cc.gatech.edu/~tdoudali/images/profile_photo.jpg
Ada,Gavrilovska,Georgia Tech,Professor,Macedonia,https://www.cc.gatech.edu/home/ada/,Georgia Tech,Systems,"Ada Gavrilovska is an associate professor in the School of Computer Science at Georgia Tech. She directs the Kernel research group, focused on performance, scalability and efficiency problems across the systems software stack. Gavrilovska's research is supported by the NSF, the US government, industry, and the SRC research center on Applications Driving Architectures (ADAcenter.org). She served as the program co-chair of the USENIX Annual Technical Conference in 2020.",,https://www.cc.gatech.edu/~ada/images/Ada%20Gavrilovska.jpg
Max,Hopkins,UCSD,Ph.D. Student,Harvard,http://cseweb.ucsd.edu/~nmhopkin/,UCSD,Theory,"I am a 3rd year PhD student in the CS theory group at UCSD supported by NSF and Jacobs Fellowships. Before moving to UCSD, I completed a BA in Mathematics at Harvard University with a minor in Computer Science. I am widely interested in applications of mathematical structure in computer science, including areas such as learning theory, computational geometry, combinatorics, approximation algorithms, and hardness of approximation.",,
Tanvir Ahmed,Khan,University of Michigan,Ph.D. Student,Bangladesh University of Engineering and Technology,https://web.eecs.umich.edu/~takh/,University of Michigan,"Systems (compiler, operating systems, and computer architecture)","Tanvir Ahmed Khan is a 4th year Ph.D. candidate in Computer Science and Engineering at the University of Michigan. His research interest lies in the intersection of compiler, operating systems, and computer architecture. Specifically, He is interested in designing novel profile-guided optimization mechanisms to improve instruction and data locality of modern data center applications. His research has appeared in top systems venues like PLDI, MICRO, FAST, ISCA, and OSDI.",,https://web.eecs.umich.edu/~takh/takhan.jpg
Samira,Khan,University of Virginia,Professor,Bangladesh University of Engineering and Technology,https://www.cs.virginia.edu/~smk9u/,University of Texas at San Antonio,Systems and Architecture,,,/assets/img/samira.jpg
Chandra,Krintz,UCSB,Professor,Cal State Northridge,https://sites.cs.ucsb.edu/~ckrintz/,UCSD,Programming systems,"Chandra's research interests include programming systems, IoT, edge and cloud computing, and data analytics with applications in farming, ranching, and conservation science. Chandra has advised over 70 undergraduate and graduate students, has published numerous research articles in programming and distributed systems, and participates in efforts to broaden participation in computing.",,https://sites.cs.ucsb.edu/~ckrintz/img/Chandra_Krintz_F13.jpg
Shriram,Krishnamurthi,Brown University,Professor,Ohio Wesleyan University,https://cs.brown.edu/~sk/,Rice University,Software: from languages to security to education,"Shriram is the Vice President for Programming Languages at Brown University in Providence, RI, USA. He’s not, really, but that’s what it says on his business card. At heart, he's a person of ill-repute: a Schemer, Racketeer, and Pyreteer.  He believes tropical fruit are superior to all other kinds. He is terrified of success, because he may be forced to buy a suit. He is known to interrogate his audiences to ensure they’re paying attention. So, be alert. You can read email later.",,https://cs.brown.edu/~sk/Images/me-2019-04-10-small.jpg
Julia,Len,Cornell University,Ph.D. Student,UCSD,https://www.cs.cornell.edu/~jlen/,Cornell University,cryptography/security,"Julia is a third year Ph.D. student in computer science at Cornell University. Her research interests are in applied cryptography and computer security. She graduated from UCSD in 2018, where she majored in computer science.",,
Tony,Mason,University of British Columbia,Ph.D. Student,University of Chicago,,University of British Columbia,Systems,"I returned to complete my PhD after spending almost 30 years in industry, teaching about, designing, and developing systems software on a variety of platforms.  My current research is in the storage area, with a focus on the ""upper layers"" of abstraction around metadata management and organization.",,https://omscs.gatech.edu/sites/default/files/images/people/tony_mason.jpg
Theodoros,Michailidis,UC San Diego,Ph.D. Student,"University of Athens, Greece",,UC San Diego,Systems (OS & Memory),"Theodore Michailidis is currently working toward the Ph.D. degree with the Department of Computer Science and Engineering, University of California, San Diego. His research interests lie on building efficient hybrid memory systems through cooperative software-hardware techniques.",,/assets/img/theo.jpg
Mia,Minnes,UC San Diego,org,,https://cseweb.ucsd.edu/~minnes/,,CS Education; Theory,"Mia Minnes is an Associate Teaching Professor in CSE at UC San Diego. She works in SoTL and on projects that support professionalization pathways for students. Her work has been supported by grants from UCSD, the NSF, NSERC, and industry partners. Dr. Minnes earned Bachelor's degrees from Queen's University, graduate degrees in Computer Science (MS 2006) and Mathematics (PhD 2008) from Cornell University. She was a CLE Moore Instructor at MIT before joining UCSD.",,https://cseweb.ucsd.edu/~minnes/Headshot.jpg
Rachel,Pottinger,University of British Columbia,Professor,Duke University,https://www.cs.ubc.ca/~rap/,University of Washington,Databases,"Rachel Pottinger an Associate Professor in Computer Science at the University of British Columbia. She received her PhD in computer science from the University of Washington in 2004. Her main research interest is data management, particularly semantic data integration, how to manage metadata, how to manage data that is currently not well supported by databases, and how to make data easier to understand and explore.",,https://www.cs.ubc.ca/~rap/headshot.jpg
Audrey,Randall,University of California San Diego,Ph.D. Student,University of Colorado Boulder,https://audrey-randall.github.io/,University of California San Diego,Internet measurement and security,"I am a third-year PhD student studying Internet measurement and security at UCSD. I'm interested in security and privacy threats with real-world impact, such as stalkerware and DNS hijacking.",,
John (Jack),Sampson,Pennsylvania State University,Professor,"University of California, Berkeley",http://www.cse.psu.edu/~jms1257/,"University of California, San Diego",Computer Architecture,"Jack Sampson is an Associate Professor in the School of EECS at the Pennsylvania State University, which he joined in 2013. Prior to joining Penn State, he was a PhD student, and then postdoctoral scholar, at the University of California at San Diego. His research interests span intermittent computing, energy-efficient computation, and the design and exploitation of emerging memory technologies.",,http://www.cse.psu.edu/~jms1257/Headshot-2017.jpg
Steven,Swanson,UC San Diego,org,The University of Puget Sound,http://swanson.ucsd.edu,University of Washington,Systems and Architecture,"Steven Swanson is a professor in the Department of Computer Science and Engineering at the University of California, San Diego and the director of the Non-volatile Systems Laboratory.  His research interests include the systems, architecture, security, and reliability issues surrounding heterogeneous memory/storage systems, especially those that incorporate non-volatile, solid-state memories.",,https://swanson.ucsd.edu/wp-content/uploads/2017/11/StevenSwansonLarge-uai-720x960.jpg
Dean,Tullsen,UC San Diego,org,UCLA,https://cseweb.ucsd.edu/~tullsen/,Washington,architecture,"Dean Tullsen is a professor at UC San Diego. He received his PhD from the University of Washington, where he introduced simultaneous multithreading. He works in computer architecture, and recently has been very active in architectural security. He is a Fellow of the ACM and the IEEE, and served as chair of the IEEE Technical Committee on Computer Architecture.  He has thrice won the Influential ISCA Paper Award.",,https://cse.ucsd.edu/sites/cse.ucsd.edu/files/faculty/tullsen17-115x150.jpg
Olivia,Weng,UC San Diego,Ph.D. Student,University of Chicago,https://www.oliviaweng.com/,UCSD,embedded systems,Olivia Weng is a first-year PhD student at UCSD researching how to map neural networks to FPGAs efficiently.,,https://www.oliviaweng.com/img/profile1.jpg
Hengyu,Zhao,UC San Diego,Ph.D. Student,China,https://hengyuzhao.weebly.com/,"UC San Diego, US",Computer architecture and autonomous driving,"Hengyu is a 5th year PhD candidate from CSE Department, UC San Diego. His research includes computer architecture design for machine learning and autonomous driving. He is willing to share the experience as a PhD to every attendee.",,
Sihang,Liu,University of Virginia,Ph.D. Student,University of Michigan,https://www.sihangliu.com/,University of Virginia,Computer architecture and systems,"I am a 5th-year PhD student in the Department of Computer Science at the University of Virginia, advised by Prof. Samira Khan. My research interest lies in computer architecture and operating systmes, specifically in system and architectural for the imminent Persistent Memory (PM) technologies. Before that, I received my B.S degree from both Shanghai Jiaotong Unievrsity (SJTU) and the University of Michigan (UM) through the Dual-Degree Program.",,https://www.sihangliu.com/images/sihang.jpg